From,To,Departure,Arrival,Price,Date,Service
LGA,DAL,10:51,14:16,256,02-01-2022,American Airlines
DAL,LGA,10:30,14:57,290,19-01-2022,JetBlue
LGA,DAL,12:20,16:34,500,08-01-2022,JetBlue
DAL,LGA,12:19,15:25,342,17-01-2022,Spirit
LGA,DAL,14:20,17:32,332,10-01-2022,JetBlue
DAL,LGA,13:54,18:02,294,11-01-2022,American Airlines
LGA,DAL,15:49,20:10,497,13-02-2022,Spirit
DAL,LGA,15:44,18:55,382,11-01-2022,American Airlines
LGA,DAL,17:14,20:59,277,13-02-2022,JetBlue
DAL,LGA,16:52,20:48,448,08-02-2022,Spirit
LGA,DAL,18:44,22:42,351,08-01-2022,Spirit
DAL,LGA,18:26,21:29,464,14-02-2022,JetBlue
LGA,DAL,19:57,23:15,512,08-01-2022,American Airlines
DAL,LGA,20:07,23:27,473,09-02-2022,JetBlue
LGA,CAK,06:58,09:01,238,25-01-2022,Spirit
CAK,LGA,06:08,08:06,224,13-02-2022,American Airlines
LGA,CAK,08:19,11:16,122,09-01-2022,JetBlue
CAK,LGA,08:27,10:45,139,13-02-2022,JetBlue
LGA,CAK,09:58,12:56,249,27-01-2022,JetBlue
CAK,LGA,09:15,12:14,247,03-02-2022,JetBlue
LGA,CAK,10:32,13:16,139,10-01-2022,JetBlue
CAK,LGA,10:53,13:36,189,03-02-2022,Spirit
LGA,CAK,12:01,13:41,267,13-02-2022,Spirit
CAK,LGA,12:08,14:59,149,06-01-2022,Spirit
LGA,CAK,13:37,15:33,142,24-01-2022,American Airlines
CAK,LGA,13:40,15:38,137,21-01-2022,JetBlue
LGA,CAK,15:50,18:45,243,19-01-2022,Spirit
CAK,LGA,15:23,17:25,232,09-02-2022,JetBlue
LGA,CAK,16:33,18:15,253,14-01-2022,JetBlue
CAK,LGA,17:08,19:08,262,29-01-2022,Spirit
LGA,CAK,18:17,21:04,259,14-01-2022,JetBlue
CAK,LGA,18:35,20:28,204,21-01-2022,Spirit
LGA,CAK,19:46,21:45,214,17-01-2022,American Airlines
CAK,LGA,20:30,23:11,114,14-02-2022,American Airlines
