From,To,Price,Date,Service
MIA,LGA,326,06-01-2022,Spirit
LGA,MIA,304,01-01-2022,American Airlines
MIA,LGA,291,13-01-2022,JetBlue
LGA,MIA,355,11-01-2022,Spirit
MIA,LGA,134,25-01-2022,JetBlue
LGA,MIA,169,19-01-2022,Spirit
MIA,LGA,173,19-01-2022,American Airlines
LGA,BOS,86,14-01-2022,Spirit
BOS,LGA,89,12-01-2022,American Airlines
LGA,BOS,149,15-01-2022,JetBlue
BOS,LGA,95,13-01-2022,American Airlines
LGA,BOS,130,11-01-2022,JetBlue
BOS,LGA,172,05-01-2022,Spirit
LGA,BOS,74,20-01-2022,American Airlines
BOS,LGA,83,07-01-2022,Spirit
LGA,BOS,142,16-01-2022,JetBlue
BOS,LGA,109,07-01-2022,American Airlines
LGA,BOS,74,10-01-2022,JetBlue
BOS,LGA,138,02-01-2022,American Airlines
LGA,BOS,62,27-01-2022,American Airlines
BOS,LGA,151,13-01-2022,American Airlines
LGA,BOS,103,11-01-2022,American Airlines
BOS,LGA,108,06-01-2022,Spirit
LGA,BOS,124,09-01-2022,American Airlines
BOS,LGA,136,24-01-2022,JetBlue
LGA,BOS,142,24-01-2022,American Airlines
BOS,LGA,102,07-01-2022,Spirit
LGA,DAL,414,18-01-2022,American Airlines
DAL,LGA,230,25-01-2022,JetBlue
LGA,DAL,347,19-01-2022,JetBlue
DAL,LGA,433,17-01-2022,American Airlines
LGA,DAL,229,06-01-2022,Spirit
DAL,LGA,364,08-01-2022,Spirit
LGA,DAL,256,12-01-2022,JetBlue
DAL,LGA,290,18-01-2022,American Airlines
LGA,DAL,500,25-01-2022,American Airlines
DAL,LGA,342,12-01-2022,JetBlue
LGA,DAL,332,16-01-2022,Spirit
DAL,LGA,294,27-01-2022,American Airlines
LGA,DAL,497,22-01-2022,Spirit
DAL,LGA,382,04-01-2022,Spirit
LGA,DAL,277,04-01-2022,American Airlines
DAL,LGA,448,17-01-2022,American Airlines
LGA,DAL,351,02-01-2022,JetBlue
DAL,LGA,464,19-01-2022,Spirit
LGA,DAL,512,04-01-2022,Spirit
DAL,LGA,473,16-01-2022,JetBlue
LGA,CAK,238,10-01-2022,American Airlines
CAK,LGA,224,03-01-2022,American Airlines
LGA,CAK,122,06-01-2022,JetBlue
CAK,LGA,139,25-01-2022,Spirit
LGA,CAK,249,09-01-2022,Spirit
CAK,LGA,247,17-01-2022,American Airlines
LGA,CAK,139,26-01-2022,JetBlue
CAK,LGA,189,18-01-2022,JetBlue
LGA,CAK,267,24-01-2022,Spirit
CAK,LGA,149,21-01-2022,JetBlue
LGA,CAK,142,01-01-2022,JetBlue
CAK,LGA,137,14-01-2022,American Airlines
LGA,CAK,243,12-01-2022,JetBlue
CAK,LGA,232,24-01-2022,Spirit
LGA,CAK,253,21-01-2022,Spirit
CAK,LGA,262,20-01-2022,American Airlines
LGA,CAK,259,06-01-2022,Spirit
CAK,LGA,204,25-01-2022,American Airlines
LGA,CAK,214,02-01-2022,JetBlue
CAK,LGA,114,19-01-2022,JetBlue
CAK,OMA,145,16-01-2022,JetBlue
OMA,CAK,68,07-01-2022,Spirit
ORD,CAK,84,19-01-2022,American Airlines
CAK,OMA,81,13-01-2022,JetBlue
MIA,OMA,135,27-01-2022,Spirit
ORD,MIA,90,22-01-2022,American Airlines
DAL,BOS,197,22-01-2022,American Airlines
MIA,CAK,197,07-01-2022,Spirit
OMA,BOS,65,16-01-2022,JetBlue
ORD,MIA,160,18-01-2022,JetBlue
CAK,ORD,164,23-01-2022,Spirit
ORD,OMA,179,04-01-2022,Spirit
DAL,BOS,151,20-01-2022,JetBlue
ORD,OMA,196,17-01-2022,American Airlines
LGA,ORD,118,21-01-2022,JetBlue
MIA,DAL,145,27-01-2022,American Airlines
BOS,OMA,111,24-01-2022,American Airlines
ORD,MIA,109,23-01-2022,American Airlines
MIA,DAL,151,25-01-2022,JetBlue
OMA,LGA,170,16-01-2022,Spirit
BOS,LGA,59,20-01-2022,Spirit
DAL,BOS,196,09-01-2022,American Airlines
OMA,DAL,140,04-01-2022,Spirit
LGA,CAK,161,20-01-2022,American Airlines
MIA,ORD,124,10-01-2022,Spirit
BOS,DAL,141,16-01-2022,American Airlines
MIA,ORD,166,27-01-2022,JetBlue
OMA,CAK,111,20-01-2022,American Airlines
DAL,ORD,184,04-01-2022,American Airlines
ORD,CAK,60,01-01-2022,JetBlue
DAL,MIA,93,19-01-2022,American Airlines
DAL,OMA,169,14-01-2022,JetBlue
BOS,MIA,194,07-01-2022,JetBlue
LGA,MIA,93,21-01-2022,JetBlue
DAL,OMA,199,18-01-2022,Spirit
MIA,LGA,183,14-01-2022,JetBlue
OMA,DAL,127,05-01-2022,JetBlue
MIA,LGA,178,18-01-2022,American Airlines
MIA,BOS,95,24-01-2022,American Airlines
OMA,MIA,90,12-01-2022,JetBlue
BOS,OMA,127,12-01-2022,JetBlue
OMA,DAL,54,08-01-2022,American Airlines
LGA,MIA,157,08-01-2022,Spirit
LGA,ORD,195,22-01-2022,American Airlines
ORD,CAK,174,16-01-2022,American Airlines
ORD,OMA,66,13-01-2022,JetBlue
ORD,OMA,115,24-01-2022,American Airlines
BOS,LGA,75,10-01-2022,JetBlue
OMA,LGA,188,18-01-2022,American Airlines
CAK,BOS,151,18-01-2022,American Airlines
MIA,CAK,177,02-01-2022,JetBlue
ORD,BOS,86,25-01-2022,JetBlue
ORD,OMA,115,09-01-2022,Spirit
DAL,MIA,197,24-01-2022,American Airlines
OMA,LGA,139,26-01-2022,JetBlue
DAL,ORD,155,14-01-2022,American Airlines
OMA,DAL,79,19-01-2022,American Airlines
MIA,OMA,173,24-01-2022,American Airlines
BOS,MIA,54,20-01-2022,JetBlue
LGA,OMA,102,19-01-2022,Spirit
ORD,LGA,147,04-01-2022,American Airlines
DAL,CAK,57,14-01-2022,American Airlines
LGA,DAL,160,07-01-2022,JetBlue
DAL,BOS,141,05-01-2022,American Airlines
DAL,MIA,85,21-01-2022,JetBlue
DAL,BOS,89,02-01-2022,JetBlue
ORD,LGA,172,22-01-2022,American Airlines
OMA,MIA,173,13-01-2022,American Airlines
MIA,LGA,99,15-01-2022,Spirit
BOS,CAK,86,04-01-2022,Spirit
MIA,LGA,195,08-01-2022,JetBlue
ORD,CAK,97,18-01-2022,Spirit
MIA,CAK,52,25-01-2022,JetBlue
LGA,ORD,193,15-01-2022,JetBlue
CAK,DAL,199,27-01-2022,JetBlue
DAL,CAK,111,01-01-2022,Spirit
MIA,BOS,136,23-01-2022,JetBlue
BOS,OMA,149,10-01-2022,American Airlines
MIA,ORD,107,04-01-2022,Spirit
BOS,MIA,150,18-01-2022,American Airlines
DAL,BOS,63,25-01-2022,American Airlines
BOS,LGA,63,27-01-2022,American Airlines
OMA,LGA,181,09-01-2022,American Airlines
OMA,DAL,188,22-01-2022,JetBlue
LGA,CAK,160,27-01-2022,JetBlue
ORD,BOS,168,10-01-2022,American Airlines
LGA,DAL,158,26-01-2022,Spirit
OMA,DAL,78,03-01-2022,JetBlue
ORD,CAK,163,22-01-2022,Spirit
LGA,CAK,148,23-01-2022,American Airlines
CAK,ORD,148,18-01-2022,Spirit
CAK,MIA,161,14-01-2022,JetBlue
ORD,BOS,153,12-01-2022,American Airlines
MIA,CAK,63,13-01-2022,Spirit
MIA,LGA,125,02-01-2022,JetBlue
MIA,DAL,59,12-01-2022,Spirit
LGA,CAK,190,03-01-2022,JetBlue
MIA,LGA,65,15-01-2022,JetBlue
BOS,DAL,131,17-01-2022,American Airlines
LGA,MIA,121,08-01-2022,JetBlue
BOS,CAK,135,11-01-2022,JetBlue
DAL,MIA,159,13-01-2022,American Airlines
OMA,LGA,185,15-01-2022,JetBlue
ORD,MIA,152,09-01-2022,JetBlue
MIA,ORD,86,20-01-2022,American Airlines
ORD,LGA,181,04-01-2022,Spirit
MIA,LGA,113,21-01-2022,Spirit
MIA,DAL,80,19-01-2022,American Airlines
MIA,CAK,103,04-01-2022,JetBlue
MIA,LGA,137,02-01-2022,Spirit
DAL,MIA,106,10-01-2022,JetBlue
MIA,LGA,80,09-01-2022,JetBlue
OMA,MIA,105,09-01-2022,American Airlines
CAK,BOS,173,16-01-2022,JetBlue
OMA,ORD,188,07-01-2022,JetBlue
BOS,OMA,67,24-01-2022,Spirit
BOS,ORD,135,13-01-2022,American Airlines
DAL,ORD,167,11-01-2022,Spirit
DAL,MIA,109,19-01-2022,American Airlines
OMA,LGA,84,25-01-2022,JetBlue
MIA,LGA,94,05-01-2022,JetBlue
BOS,MIA,200,02-01-2022,American Airlines
CAK,MIA,125,15-01-2022,Spirit
OMA,MIA,113,14-01-2022,JetBlue
MIA,DAL,79,18-01-2022,Spirit
OMA,MIA,80,06-01-2022,American Airlines
OMA,LGA,56,25-01-2022,Spirit
CAK,MIA,153,21-01-2022,JetBlue
ORD,OMA,73,01-01-2022,JetBlue
DAL,LGA,59,23-01-2022,JetBlue
OMA,BOS,87,21-01-2022,American Airlines
DAL,BOS,145,07-01-2022,JetBlue
DAL,LGA,82,23-01-2022,American Airlines
MIA,CAK,77,14-01-2022,Spirit
CAK,MIA,186,27-01-2022,American Airlines
BOS,CAK,101,05-01-2022,Spirit
LGA,OMA,55,14-01-2022,Spirit
BOS,ORD,97,18-01-2022,American Airlines
ORD,OMA,177,01-01-2022,JetBlue
BOS,OMA,170,08-01-2022,JetBlue
OMA,BOS,118,21-01-2022,American Airlines
LGA,BOS,166,13-01-2022,JetBlue
DAL,ORD,148,11-01-2022,American Airlines
CAK,MIA,175,07-01-2022,Spirit
BOS,LGA,122,12-01-2022,American Airlines
MIA,DAL,191,17-01-2022,American Airlines
CAK,LGA,162,08-01-2022,Spirit
ORD,CAK,174,04-01-2022,JetBlue
CAK,LGA,53,10-01-2022,JetBlue
LGA,BOS,89,06-01-2022,American Airlines
ORD,OMA,104,04-01-2022,JetBlue
BOS,LGA,172,09-01-2022,JetBlue
DAL,OMA,159,09-01-2022,JetBlue
LGA,DAL,77,26-01-2022,Spirit
CAK,MIA,86,04-01-2022,American Airlines
LGA,OMA,176,05-01-2022,JetBlue
DAL,MIA,81,04-01-2022,JetBlue
DAL,OMA,187,08-01-2022,JetBlue
OMA,MIA,101,23-01-2022,JetBlue
LGA,ORD,160,10-01-2022,JetBlue
MIA,DAL,161,16-01-2022,American Airlines
BOS,OMA,145,17-01-2022,American Airlines
DAL,BOS,136,02-01-2022,JetBlue
BOS,ORD,53,23-01-2022,JetBlue
ORD,MIA,91,20-01-2022,JetBlue
MIA,DAL,160,20-01-2022,American Airlines
LGA,MIA,53,01-01-2022,Spirit
LGA,BOS,151,21-01-2022,JetBlue
DAL,CAK,69,12-01-2022,American Airlines
MIA,BOS,149,03-01-2022,JetBlue
DAL,BOS,115,12-01-2022,American Airlines
CAK,MIA,184,17-01-2022,Spirit
OMA,DAL,135,05-01-2022,JetBlue
OMA,ORD,117,05-01-2022,JetBlue
BOS,CAK,124,21-01-2022,Spirit
DAL,MIA,134,15-01-2022,American Airlines
DAL,ORD,146,10-01-2022,American Airlines
CAK,LGA,53,24-01-2022,Spirit
ORD,BOS,192,14-01-2022,Spirit
CAK,LGA,131,10-01-2022,American Airlines
CAK,MIA,185,01-01-2022,JetBlue
LGA,DAL,103,21-01-2022,American Airlines
OMA,LGA,55,02-01-2022,JetBlue
OMA,CAK,133,25-01-2022,American Airlines
ORD,BOS,147,13-01-2022,JetBlue
MIA,LGA,117,10-01-2022,American Airlines
OMA,DAL,128,26-01-2022,American Airlines
OMA,MIA,140,05-01-2022,Spirit
DAL,CAK,100,14-01-2022,JetBlue
LGA,DAL,122,17-01-2022,JetBlue
MIA,LGA,61,25-01-2022,American Airlines
MIA,ORD,178,21-01-2022,Spirit
BOS,LGA,114,25-01-2022,American Airlines
MIA,ORD,122,18-01-2022,JetBlue
BOS,CAK,58,24-01-2022,American Airlines
ORD,CAK,50,24-01-2022,Spirit
LGA,DAL,63,08-01-2022,JetBlue
BOS,CAK,142,05-01-2022,Spirit
OMA,DAL,169,01-01-2022,Spirit
MIA,LGA,197,25-01-2022,JetBlue
BOS,OMA,154,23-01-2022,Spirit
ORD,OMA,178,15-01-2022,Spirit
BOS,DAL,163,06-01-2022,American Airlines
DAL,ORD,143,24-01-2022,JetBlue
BOS,DAL,166,08-01-2022,JetBlue
DAL,CAK,113,02-01-2022,Spirit
BOS,ORD,161,02-01-2022,JetBlue
BOS,DAL,74,15-01-2022,JetBlue
ORD,CAK,153,13-01-2022,JetBlue
ORD,OMA,80,20-01-2022,American Airlines
LGA,BOS,99,22-01-2022,JetBlue
DAL,ORD,132,24-01-2022,Spirit
LGA,CAK,156,23-01-2022,JetBlue
MIA,LGA,190,25-01-2022,JetBlue
CAK,LGA,62,16-01-2022,American Airlines
LGA,BOS,65,16-01-2022,JetBlue
DAL,OMA,143,18-01-2022,Spirit
OMA,LGA,66,19-01-2022,American Airlines
LGA,CAK,135,24-01-2022,Spirit
ORD,BOS,51,04-01-2022,Spirit
DAL,BOS,152,16-01-2022,JetBlue
MIA,ORD,69,25-01-2022,JetBlue
CAK,MIA,133,12-01-2022,JetBlue
BOS,MIA,179,27-01-2022,JetBlue
CAK,DAL,97,15-01-2022,American Airlines
ORD,DAL,80,08-01-2022,American Airlines
OMA,BOS,180,09-01-2022,JetBlue
ORD,CAK,81,08-01-2022,Spirit
LGA,OMA,117,10-01-2022,JetBlue
LGA,CAK,57,22-01-2022,Spirit
BOS,ORD,86,04-01-2022,American Airlines
MIA,CAK,144,11-01-2022,American Airlines
ORD,DAL,121,20-01-2022,American Airlines
BOS,MIA,120,18-01-2022,Spirit
DAL,LGA,152,27-01-2022,JetBlue
MIA,CAK,126,25-01-2022,American Airlines
LGA,CAK,174,15-01-2022,Spirit
MIA,CAK,106,18-01-2022,Spirit
BOS,DAL,109,20-01-2022,JetBlue
LGA,CAK,58,15-01-2022,Spirit
CAK,ORD,55,18-01-2022,Spirit
OMA,BOS,68,20-01-2022,American Airlines
BOS,DAL,154,24-01-2022,JetBlue
MIA,DAL,118,27-01-2022,American Airlines
BOS,ORD,140,22-01-2022,Spirit
CAK,MIA,75,22-01-2022,JetBlue
ORD,CAK,73,07-01-2022,Spirit
OMA,CAK,191,12-01-2022,JetBlue
OMA,MIA,184,21-01-2022,American Airlines
MIA,LGA,198,12-01-2022,Spirit
OMA,MIA,66,27-01-2022,Spirit
MIA,CAK,61,23-01-2022,American Airlines
MIA,BOS,131,27-01-2022,American Airlines
BOS,OMA,193,02-01-2022,American Airlines
MIA,OMA,191,27-01-2022,Spirit
ORD,LGA,164,21-01-2022,Spirit
OMA,BOS,92,27-01-2022,American Airlines
LGA,ORD,102,14-01-2022,JetBlue
DAL,MIA,116,21-01-2022,JetBlue
BOS,MIA,65,22-01-2022,Spirit
ORD,BOS,89,13-01-2022,JetBlue
ORD,LGA,189,12-01-2022,Spirit
DAL,CAK,198,23-01-2022,American Airlines
BOS,CAK,54,18-01-2022,Spirit
DAL,CAK,153,09-01-2022,Spirit
CAK,BOS,71,22-01-2022,JetBlue
OMA,MIA,122,03-01-2022,JetBlue
OMA,CAK,111,22-01-2022,JetBlue
BOS,DAL,70,14-01-2022,JetBlue
BOS,LGA,195,10-01-2022,Spirit
ORD,CAK,171,02-01-2022,JetBlue
LGA,MIA,126,12-01-2022,Spirit
MIA,ORD,65,04-01-2022,JetBlue
OMA,LGA,171,21-01-2022,Spirit
ORD,LGA,111,24-01-2022,Spirit
OMA,DAL,70,11-01-2022,American Airlines
DAL,ORD,196,24-01-2022,Spirit
CAK,DAL,148,08-01-2022,American Airlines
ORD,OMA,107,06-01-2022,American Airlines
ORD,OMA,178,19-01-2022,JetBlue
OMA,LGA,148,09-01-2022,JetBlue
LGA,DAL,200,23-01-2022,Spirit
MIA,DAL,191,02-01-2022,JetBlue
MIA,LGA,98,19-01-2022,Spirit
MIA,ORD,53,10-01-2022,JetBlue
DAL,LGA,117,26-01-2022,Spirit
BOS,MIA,131,04-01-2022,Spirit
LGA,ORD,198,10-01-2022,American Airlines
CAK,BOS,61,18-01-2022,Spirit
ORD,DAL,114,22-01-2022,JetBlue
ORD,CAK,196,20-01-2022,American Airlines
LGA,DAL,104,01-01-2022,American Airlines
OMA,MIA,95,23-01-2022,Spirit
CAK,OMA,89,13-01-2022,American Airlines
BOS,LGA,190,27-01-2022,American Airlines
BOS,MIA,114,03-01-2022,JetBlue
MIA,ORD,187,26-01-2022,JetBlue
OMA,ORD,182,24-01-2022,JetBlue
OMA,LGA,153,04-01-2022,JetBlue
MIA,DAL,184,22-01-2022,JetBlue
ORD,CAK,115,11-01-2022,Spirit
DAL,CAK,121,14-01-2022,JetBlue
OMA,LGA,138,15-01-2022,JetBlue
BOS,DAL,114,27-01-2022,Spirit
DAL,BOS,164,19-01-2022,American Airlines
MIA,CAK,90,16-01-2022,JetBlue
LGA,BOS,79,20-01-2022,American Airlines
OMA,LGA,112,14-01-2022,American Airlines
BOS,MIA,132,04-01-2022,Spirit
LGA,DAL,90,24-01-2022,American Airlines
CAK,DAL,116,21-01-2022,Spirit
CAK,OMA,173,16-01-2022,Spirit
BOS,LGA,186,16-01-2022,American Airlines
CAK,MIA,50,20-01-2022,JetBlue
BOS,CAK,116,06-01-2022,Spirit
MIA,BOS,113,03-01-2022,Spirit
DAL,ORD,100,22-01-2022,American Airlines
ORD,DAL,96,18-01-2022,American Airlines
OMA,BOS,69,08-01-2022,Spirit
ORD,OMA,97,18-01-2022,Spirit
MIA,BOS,161,23-01-2022,Spirit
OMA,LGA,90,05-01-2022,JetBlue
DAL,OMA,189,26-01-2022,Spirit
DAL,LGA,125,09-01-2022,JetBlue
OMA,ORD,123,19-01-2022,American Airlines
CAK,ORD,76,19-01-2022,American Airlines
BOS,MIA,71,26-01-2022,JetBlue
OMA,ORD,166,24-01-2022,Spirit
ORD,DAL,73,17-01-2022,JetBlue
MIA,DAL,55,19-01-2022,Spirit
DAL,MIA,66,20-01-2022,Spirit
CAK,DAL,58,14-01-2022,Spirit
OMA,ORD,191,01-01-2022,American Airlines
DAL,MIA,173,05-01-2022,Spirit
CAK,DAL,192,16-01-2022,JetBlue
MIA,DAL,122,18-01-2022,American Airlines
LGA,ORD,104,15-01-2022,JetBlue
DAL,OMA,124,17-01-2022,JetBlue
CAK,LGA,71,05-01-2022,American Airlines
MIA,BOS,138,23-01-2022,American Airlines
BOS,CAK,157,06-01-2022,Spirit
ORD,LGA,59,20-01-2022,American Airlines
DAL,OMA,67,09-01-2022,JetBlue
ORD,MIA,143,11-01-2022,Spirit
DAL,BOS,61,14-01-2022,American Airlines
DAL,ORD,138,14-01-2022,American Airlines
DAL,LGA,199,01-01-2022,American Airlines
BOS,CAK,63,13-01-2022,Spirit
CAK,MIA,81,12-01-2022,American Airlines
CAK,BOS,63,17-01-2022,JetBlue
DAL,LGA,100,02-01-2022,Spirit
CAK,OMA,51,12-01-2022,JetBlue
DAL,LGA,78,22-01-2022,JetBlue
DAL,OMA,116,21-01-2022,Spirit
DAL,MIA,189,06-01-2022,American Airlines
DAL,ORD,122,02-01-2022,Spirit
BOS,CAK,199,16-01-2022,JetBlue
ORD,LGA,190,01-01-2022,JetBlue
CAK,ORD,152,21-01-2022,Spirit
LGA,DAL,125,12-01-2022,JetBlue
OMA,ORD,153,27-01-2022,American Airlines
BOS,ORD,136,08-01-2022,JetBlue
CAK,BOS,176,02-01-2022,Spirit
CAK,OMA,142,07-01-2022,Spirit
MIA,ORD,152,19-01-2022,JetBlue
ORD,BOS,113,06-01-2022,American Airlines
CAK,LGA,111,16-01-2022,Spirit
LGA,CAK,189,01-01-2022,American Airlines
BOS,CAK,146,05-01-2022,American Airlines
CAK,BOS,197,10-01-2022,American Airlines
OMA,BOS,148,22-01-2022,American Airlines
BOS,LGA,164,27-01-2022,American Airlines
LGA,OMA,198,07-01-2022,Spirit
ORD,LGA,113,10-01-2022,Spirit
ORD,CAK,106,01-01-2022,JetBlue
ORD,OMA,159,05-01-2022,American Airlines
CAK,MIA,144,26-01-2022,Spirit
BOS,DAL,193,06-01-2022,Spirit
MIA,ORD,55,04-01-2022,JetBlue
ORD,OMA,61,20-01-2022,JetBlue
DAL,ORD,132,23-01-2022,American Airlines
CAK,MIA,90,23-01-2022,JetBlue
MIA,CAK,178,23-01-2022,JetBlue
BOS,LGA,67,21-01-2022,Spirit
ORD,MIA,75,02-01-2022,American Airlines
CAK,ORD,51,23-01-2022,American Airlines
MIA,DAL,177,27-01-2022,Spirit
ORD,DAL,175,09-01-2022,American Airlines
OMA,CAK,150,15-01-2022,American Airlines
OMA,LGA,183,15-01-2022,JetBlue
DAL,CAK,108,27-01-2022,American Airlines
MIA,DAL,165,19-01-2022,American Airlines
ORD,CAK,145,11-01-2022,American Airlines
CAK,DAL,166,10-01-2022,JetBlue
DAL,ORD,133,05-01-2022,Spirit
MIA,BOS,197,21-01-2022,JetBlue
LGA,BOS,176,23-01-2022,Spirit
CAK,LGA,138,08-01-2022,American Airlines
CAK,ORD,136,02-01-2022,Spirit
BOS,CAK,193,13-01-2022,JetBlue
ORD,LGA,92,14-01-2022,American Airlines
LGA,MIA,187,27-01-2022,American Airlines
OMA,DAL,146,05-01-2022,JetBlue
BOS,CAK,163,24-01-2022,American Airlines
CAK,LGA,141,22-01-2022,American Airlines
OMA,LGA,165,03-01-2022,Spirit
ORD,OMA,77,20-01-2022,Spirit
DAL,ORD,61,24-01-2022,American Airlines
BOS,ORD,135,09-01-2022,American Airlines
CAK,BOS,95,17-01-2022,JetBlue
DAL,MIA,144,06-01-2022,Spirit
CAK,DAL,102,19-01-2022,JetBlue
LGA,OMA,55,01-01-2022,American Airlines
OMA,BOS,54,26-01-2022,American Airlines
LGA,CAK,138,03-01-2022,JetBlue
ORD,BOS,154,08-01-2022,Spirit
CAK,LGA,183,19-01-2022,JetBlue
ORD,LGA,86,03-01-2022,JetBlue
LGA,CAK,54,21-01-2022,American Airlines
CAK,DAL,91,07-01-2022,JetBlue
BOS,MIA,174,13-01-2022,American Airlines
MIA,ORD,151,25-01-2022,Spirit
ORD,LGA,120,07-01-2022,Spirit
CAK,OMA,195,02-01-2022,Spirit
BOS,CAK,91,03-01-2022,Spirit
CAK,OMA,109,08-01-2022,American Airlines
CAK,BOS,178,16-01-2022,American Airlines
BOS,LGA,170,19-01-2022,American Airlines
ORD,BOS,196,05-01-2022,Spirit
OMA,BOS,198,12-01-2022,American Airlines
CAK,LGA,197,14-01-2022,Spirit
BOS,OMA,146,15-01-2022,American Airlines
ORD,LGA,85,10-01-2022,JetBlue
CAK,DAL,157,27-01-2022,Spirit
ORD,MIA,81,05-01-2022,Spirit
CAK,ORD,165,11-01-2022,American Airlines
LGA,OMA,56,13-01-2022,JetBlue
DAL,CAK,88,19-01-2022,Spirit
BOS,DAL,134,25-01-2022,JetBlue
OMA,ORD,132,24-01-2022,American Airlines
LGA,ORD,177,05-01-2022,Spirit
BOS,LGA,135,13-01-2022,JetBlue
DAL,BOS,128,01-01-2022,American Airlines
ORD,MIA,171,13-01-2022,Spirit
DAL,ORD,198,25-01-2022,JetBlue
BOS,MIA,190,12-01-2022,American Airlines
CAK,DAL,139,27-01-2022,JetBlue
BOS,LGA,50,05-01-2022,Spirit
LGA,ORD,60,12-01-2022,American Airlines
ORD,LGA,118,15-01-2022,American Airlines
MIA,DAL,197,23-01-2022,JetBlue
ORD,LGA,125,03-01-2022,JetBlue
LGA,MIA,71,12-01-2022,JetBlue
CAK,BOS,137,23-01-2022,Spirit
CAK,DAL,128,01-01-2022,Spirit
CAK,OMA,80,10-01-2022,Spirit
CAK,OMA,86,26-01-2022,JetBlue
DAL,ORD,120,16-01-2022,JetBlue
LGA,OMA,191,17-01-2022,American Airlines
BOS,CAK,52,20-01-2022,American Airlines
MIA,CAK,165,24-01-2022,American Airlines
LGA,OMA,66,21-01-2022,American Airlines
CAK,DAL,198,22-01-2022,American Airlines
BOS,LGA,116,08-01-2022,Spirit
OMA,LGA,180,13-01-2022,Spirit
CAK,BOS,179,06-01-2022,American Airlines
DAL,LGA,154,20-01-2022,Spirit
LGA,MIA,50,24-01-2022,JetBlue
DAL,LGA,193,15-01-2022,JetBlue
LGA,BOS,113,11-01-2022,Spirit
DAL,LGA,72,15-01-2022,American Airlines
MIA,ORD,74,18-01-2022,American Airlines
OMA,DAL,169,14-01-2022,American Airlines
MIA,OMA,196,16-01-2022,JetBlue
CAK,DAL,183,06-01-2022,Spirit
LGA,ORD,186,24-01-2022,JetBlue
DAL,CAK,131,04-01-2022,Spirit
BOS,OMA,50,05-01-2022,Spirit
ORD,OMA,177,21-01-2022,American Airlines
MIA,ORD,53,24-01-2022,American Airlines
ORD,MIA,186,25-01-2022,American Airlines
DAL,BOS,116,16-01-2022,American Airlines
CAK,BOS,96,09-01-2022,Spirit
LGA,MIA,53,24-01-2022,Spirit
MIA,OMA,100,25-01-2022,JetBlue
DAL,OMA,161,16-01-2022,American Airlines
LGA,CAK,133,20-01-2022,Spirit
DAL,BOS,138,27-01-2022,American Airlines
MIA,LGA,82,25-01-2022,American Airlines
BOS,OMA,71,13-01-2022,JetBlue
MIA,ORD,174,02-01-2022,Spirit
LGA,MIA,112,27-01-2022,American Airlines
ORD,LGA,137,01-01-2022,JetBlue
LGA,MIA,136,17-01-2022,JetBlue
DAL,MIA,123,14-01-2022,Spirit
